ID_REF,GSM3586432,GSM3586433,GSM3586434,GSM3586435
HEATR7B1,3.061297262,3.686871741,3.443430457,3.634994798
TRPM8,1.616057032,1.821370868,1.605224093,1.671050804
SPP2,1.703823032,1.596396242,1.840969576,2.013846738
SH3BP4,2.789443293,2.539449662,2.600165584,2.55386622
AGAP1,4.947879319,4.528690714,4.046206711,4.966511278
CXCR7,6.595034791,5.211802428,6.820716481,5.423080898
COPS8,4.599972042,4.42452074,4.162336212,4.858415561
GM9991,2.765817355,2.762669673,2.787379938,2.69280722
MLPH,2.995661437,2.782266184,2.953478463,2.494343019
PRLH,3.895549995,3.75414559,3.589548686,4.016554157
LRRFIP1,4.899502734,5.069103466,4.504745761,5.791527915
RBM44,1.671152536,1.584915858,1.702699632,1.753992215
RAMP1,3.39490928,3.367584581,3.455439237,3.412425613
UBE2F,3.763569481,4.254975155,4.414490317,4.639064977
SCLY,2.452150986,2.52991132,2.429685933,2.273685695
ESPNL,3.052603745,2.883004311,2.64615177,2.691952024
KLHL30,2.793160873,2.437605348,2.231958614,1.848812686
FAM132B,3.099633477,2.728098571,2.892005673,3.119901055
TRAF3IP1,3.708859091,3.782862962,3.606996213,3.599972934
ASB1,3.993869388,3.405542284,3.705846976,3.652603399
TWIST2,4.438364464,4.387619317,4.574552211,4.6001307
OLFR1413,2.357852601,2.3894283,2.30548238,2.28802564
OLFR1412,3.002567589,2.180316952,2.682645034,2.153963658
OLFR1411,2.090277299,2.385826279,2.660280615,2.550035675
OLFR1410,3.420890329,2.990191976,3.346274389,3.016912295
OLFR12,1.991253517,1.833817889,2.284140066,2.174530556
GPR35,4.263707088,4.605953567,4.111415538,5.955582577
GPC1,3.036076585,3.934242183,2.720912577,3.275533809
MIR149,3.734977524,3.613142246,3.677890724,3.489701138
DUSP28,3.597499645,3.208661604,3.442327061,3.490719887
RNPEPL1,4.793592785,4.455522584,4.66496657,4.323049386
CAPN10,3.076107699,3.039236149,3.342540505,2.821797698
AQP12,2.338909239,2.304633953,2.677221361,2.251220163
AGXT,1.772596831,1.656043904,1.996947848,1.684516835
SNED1,3.646099512,4.699150911,3.561298803,3.708750084
PPP1R7,5.103841831,5.513627242,4.41957298,5.466603158
ANO7,3.128549069,2.44716905,2.51393433,2.924023524
SEPT2,6.999393125,6.924693355,5.554314851,7.287407769
FARP2,2.980739599,2.999137962,3.095831052,2.901479353
BOK,4.761116781,4.992435355,4.688013219,4.683726108
THAP4,2.275454488,1.999711215,2.027509678,2.698649414
ATG4B,3.068658664,3.048769003,2.530278141,3.066749177
ING5,4.124225462,4.129655063,4.069749986,4.235964106
D2HGDH,2.876988266,2.539440852,2.993702183,2.495829028
GAL3ST2,2.027684512,1.935238656,1.716002017,1.892226169
GM6086,1.70497922,1.819360066,1.881798373,1.603788752
NEU4,2.732533933,2.444017398,2.86024405,2.530278158
FAM174A,5.638378249,4.873694538,5.257781698,4.635356373
GM15427,8.577094274,8.957588052,8.975864247,9.018009828
HNRNPF,6.488963426,7.567105212,6.60675011,8.009599892
GIN1,3.96593204,3.665286386,4.253079126,3.477191346
SLCO6D1,1.204166309,1.221352543,1.453519561,1.303215787
CNTNAP5B,1.836926503,1.87075261,1.80094723,1.84283871
CDH20,2.542405117,2.125743299,2.370861984,2.201749623
CAPZA1,7.269507302,7.436506924,7.570369994,7.769751449
2310035C23RIK,4.226448104,4.272326316,4.582456393,4.413036313
ZFP706,7.163384155,7.668935118,7.364072137,7.408169133
TNFRSF11A,3.896917305,4.600221388,3.765077251,4.153375708
ZCCHC2,4.802962877,4.443616963,4.749922097,4.743716235
PHLPP1,4.112899348,3.958081737,3.430674091,3.736245732
GM6651,3.353116933,4.30984407,2.864227109,4.373575931
BCL2,4.448547839,3.880865393,4.256509839,3.802408564
SERPINB5,1.49069945,1.588335893,1.668964191,1.486103731
SERPINB12,1.236742485,1.272264408,1.450811318,1.193087913
SERPINB13,1.584393144,1.370816698,1.703653639,1.561699673
SERPINB11,1.220598364,1.071441628,1.521641587,1.103347975
SERPINB7,1.426938182,1.421361519,1.611133936,1.344475903
SERPINB2,3.293025352,5.117118957,3.312772069,6.063056399
SERPINB10,2.270343955,1.805262933,2.284438433,3.47336143
SERPINB8,3.950984251,4.376932538,4.032065613,4.153992025
CDH7,1.768374851,1.775130844,1.85462282,1.574088561
CNTNAP5A,1.972194813,1.712846399,2.059116236,1.703142084
MKI67IP,4.852388217,4.912663678,4.548666662,5.699390672
CLASP1,4.993541272,5.086624474,5.03985919,4.953795196
TCFCP2L1,2.808530794,2.657832429,2.507204066,2.534151529
TMEM185B,3.338350888,4.186358,3.430631768,4.198183241
